discount_until,country,city,state,postal_code,region,product_id,category,sub_category,brand,product_name,currency,actual_price,discount_price,discount_percentage,address
2023-12-14,USA,Los Angeles,CA,41825,East,6093,Footwear,Women Shoes,Reebok,Formal Shoes,USD,77.0,67.0,13,789 Elm St
2024-07-30,USA,New York,CA,41012,East,5587,Footwear,Women Shoes,Adidas,Formal Shoes,USD,163.0,116.0,29,123 Main St
2023-09-13,USA,San Francisco,NY,26851,Central,3158,Footwear,Women Shoes,Reebok,Formal Shoes,USD,109.0,77.0,29,123 Main St
2024-06-01,USA,San Francisco,IL,95950,East,3838,Footwear,Women Shoes,Puma,Running Shoes,USD,185.0,137.0,26,123 Main St
2023-11-01,USA,Los Angeles,NY,83262,East,3254,Footwear,Women Shoes,Puma,Running Shoes,USD,118.0,91.0,23,456 Market St
2024-03-12,USA,San Francisco,CA,13462,West,9619,Footwear,Men Shoes,Nike,Running Shoes,USD,127.0,118.0,7,456 Market St
2024-03-03,USA,New York,CA,33234,East,7407,Footwear,Men Shoes,Adidas,Running Shoes,USD,100.0,84.0,16,100 Pine St
2023-09-09,USA,San Francisco,CA,65856,West,7062,Footwear,Women Shoes,Adidas,Formal Shoes,USD,153.0,121.0,21,123 Main St
2024-04-05,USA,San Francisco,IL,14750,West,5001,Footwear,Women Shoes,Reebok,Running Shoes,USD,66.0,62.0,6,789 Elm St
2024-05-23,USA,San Francisco,IL,57309,South,6245,Footwear,Men Shoes,Adidas,Formal Shoes,USD,164.0,120.0,27,321 Oak St
2023-12-17,USA,San Francisco,CA,91830,West,2938,Footwear,Men Shoes,Adidas,Casual Shoes,USD,73.0,59.0,19,789 Elm St
2024-02-27,USA,Los Angeles,CA,31612,East,4716,Footwear,Men Shoes,Puma,Casual Shoes,USD,73.0,61.0,17,123 Main St
2024-07-16,USA,San Francisco,NY,60413,South,5771,Footwear,Men Shoes,Puma,Formal Shoes,USD,102.0,76.0,25,100 Pine St
2023-08-20,USA,Los Angeles,NY,35607,West,3810,Footwear,Men Shoes,Adidas,Formal Shoes,USD,140.0,119.0,15,456 Market St
2023-12-18,USA,New York,IL,48801,Central,8243,Footwear,Men Shoes,Reebok,Casual Shoes,USD,51.0,37.0,27,123 Main St
2024-07-30,USA,New York,CA,77746,Central,3957,Footwear,Men Shoes,Adidas,Formal Shoes,USD,109.0,95.0,13,789 Elm St
2023-12-09,USA,San Francisco,NY,68486,Central,8444,Footwear,Women Shoes,Puma,Casual Shoes,USD,165.0,127.0,23,789 Elm St
2024-02-26,USA,Los Angeles,CA,86184,East,9417,Footwear,Men Shoes,Adidas,Formal Shoes,USD,94.0,70.0,26,100 Pine St
2023-09-27,USA,New York,IL,88912,South,3604,Footwear,Men Shoes,Adidas,Formal Shoes,USD,153.0,138.0,10,123 Main St
2023-11-20,USA,San Francisco,IL,96970,East,9307,Footwear,Men Shoes,Adidas,Formal Shoes,USD,148.0,129.0,13,789 Elm St
2023-08-24,USA,New York,IL,51125,Central,4450,Footwear,Women Shoes,Nike,Casual Shoes,USD,133.0,108.0,19,789 Elm St
2023-10-14,USA,Los Angeles,CA,24666,South,3476,Footwear,Men Shoes,Adidas,Formal Shoes,USD,154.0,132.0,14,123 Main St
2024-07-11,USA,San Francisco,NY,36219,West,3256,Footwear,Men Shoes,Nike,Running Shoes,USD,162.0,133.0,18,123 Main St
2024-05-02,USA,Los Angeles,CA,87419,East,7838,Footwear,Men Shoes,Puma,Formal Shoes,USD,169.0,149.0,12,789 Elm St
2023-09-18,USA,San Francisco,IL,25485,South,4876,Footwear,Women Shoes,Adidas,Running Shoes,USD,161.0,119.0,26,100 Pine St
2023-10-22,USA,Los Angeles,CA,29244,South,5183,Footwear,Men Shoes,Puma,Running Shoes,USD,168.0,123.0,27,321 Oak St
2024-02-12,USA,San Francisco,CA,93388,East,3578,Footwear,Women Shoes,Puma,Formal Shoes,USD,181.0,147.0,19,123 Main St
2023-11-21,USA,San Francisco,CA,22964,Central,1072,Footwear,Men Shoes,Reebok,Casual Shoes,USD,149.0,109.0,27,456 Market St
2024-06-22,USA,San Francisco,CA,88671,West,4381,Footwear,Women Shoes,Nike,Formal Shoes,USD,121.0,87.0,28,321 Oak St
2024-01-23,USA,San Francisco,NY,39562,Central,4341,Footwear,Women Shoes,Nike,Formal Shoes,USD,77.0,73.0,5,123 Main St
2023-12-14,USA,New York,NY,93483,East,3438,Footwear,Men Shoes,Reebok,Running Shoes,USD,50.0,36.0,27,100 Pine St
2023-09-05,USA,New York,IL,43884,East,9061,Footwear,Women Shoes,Reebok,Formal Shoes,USD,154.0,143.0,7,321 Oak St
2024-02-23,USA,Los Angeles,CA,62902,East,5349,Footwear,Women Shoes,Nike,Formal Shoes,USD,113.0,80.0,29,456 Market St
2024-04-28,USA,New York,NY,25227,East,3388,Footwear,Women Shoes,Puma,Formal Shoes,USD,115.0,94.0,18,789 Elm St
2024-03-20,USA,New York,IL,27627,Central,7955,Footwear,Men Shoes,Nike,Running Shoes,USD,174.0,165.0,5,100 Pine St
2023-10-15,USA,San Francisco,IL,46835,Central,2622,Footwear,Men Shoes,Adidas,Casual Shoes,USD,148.0,138.0,7,789 Elm St
2023-10-07,USA,New York,NY,47582,South,3115,Footwear,Men Shoes,Puma,Casual Shoes,USD,183.0,170.0,7,321 Oak St
2024-02-16,USA,New York,IL,99738,East,6947,Footwear,Men Shoes,Reebok,Casual Shoes,USD,136.0,109.0,20,123 Main St
2023-11-09,USA,Los Angeles,CA,25607,Central,4596,Footwear,Women Shoes,Reebok,Casual Shoes,USD,191.0,180.0,6,456 Market St
2024-08-08,USA,Los Angeles,CA,27421,West,9981,Footwear,Women Shoes,Nike,Casual Shoes,USD,69.0,66.0,5,321 Oak St
2024-07-15,USA,New York,IL,82860,Central,2752,Footwear,Women Shoes,Nike,Formal Shoes,USD,157.0,116.0,26,100 Pine St
2023-12-25,USA,San Francisco,NY,63167,South,9281,Footwear,Men Shoes,Puma,Formal Shoes,USD,121.0,109.0,10,100 Pine St
2024-07-06,USA,San Francisco,NY,68718,East,9421,Footwear,Women Shoes,Nike,Casual Shoes,USD,80.0,76.0,5,123 Main St
2024-07-22,USA,New York,IL,68376,Central,5293,Footwear,Men Shoes,Reebok,Casual Shoes,USD,191.0,162.0,15,100 Pine St
2023-12-30,USA,New York,NY,95112,South,2169,Footwear,Men Shoes,Puma,Running Shoes,USD,147.0,113.0,23,123 Main St
2024-03-26,USA,San Francisco,NY,69687,South,1074,Footwear,Women Shoes,Nike,Formal Shoes,USD,102.0,81.0,21,456 Market St
2023-12-09,USA,Los Angeles,NY,10795,South,9043,Footwear,Men Shoes,Reebok,Running Shoes,USD,77.0,66.0,14,321 Oak St
2024-05-03,USA,Los Angeles,CA,49550,West,7831,Footwear,Men Shoes,Reebok,Formal Shoes,USD,99.0,80.0,19,789 Elm St
2024-03-08,USA,San Francisco,CA,38293,West,4981,Footwear,Women Shoes,Puma,Running Shoes,USD,148.0,108.0,27,321 Oak St
2024-08-03,USA,New York,IL,91985,Central,6316,Footwear,Men Shoes,Adidas,Formal Shoes,USD,152.0,126.0,17,321 Oak St
2024-02-09,USA,Los Angeles,IL,42704,East,4416,Footwear,Women Shoes,Reebok,Casual Shoes,USD,62.0,55.0,12,789 Elm St
2024-01-27,USA,San Francisco,NY,89350,Central,2640,Footwear,Men Shoes,Reebok,Running Shoes,USD,56.0,53.0,6,321 Oak St
2024-04-01,USA,Los Angeles,CA,72984,South,9197,Footwear,Women Shoes,Nike,Running Shoes,USD,59.0,50.0,15,100 Pine St
2023-09-08,USA,Los Angeles,CA,45290,South,8538,Footwear,Men Shoes,Nike,Running Shoes,USD,55.0,41.0,25,100 Pine St
2024-06-30,USA,New York,IL,67882,South,5726,Footwear,Men Shoes,Adidas,Formal Shoes,USD,129.0,117.0,9,100 Pine St
2024-02-27,USA,San Francisco,NY,85087,South,3527,Footwear,Men Shoes,Puma,Formal Shoes,USD,183.0,148.0,19,456 Market St
2024-02-18,USA,Los Angeles,IL,37945,East,6379,Footwear,Women Shoes,Nike,Formal Shoes,USD,157.0,111.0,29,789 Elm St
2024-01-11,USA,San Francisco,CA,20144,Central,8711,Footwear,Women Shoes,Puma,Running Shoes,USD,142.0,135.0,5,123 Main St
2023-09-07,USA,San Francisco,CA,26254,Central,8195,Footwear,Women Shoes,Puma,Casual Shoes,USD,136.0,114.0,16,456 Market St
2024-05-04,USA,San Francisco,IL,58669,South,3977,Footwear,Men Shoes,Adidas,Formal Shoes,USD,192.0,173.0,10,456 Market St
2024-07-20,USA,San Francisco,NY,42594,Central,4505,Footwear,Women Shoes,Nike,Running Shoes,USD,126.0,100.0,21,123 Main St
2024-07-13,USA,New York,IL,50728,South,7559,Footwear,Men Shoes,Nike,Formal Shoes,USD,164.0,136.0,17,321 Oak St
2023-11-13,USA,San Francisco,NY,56842,South,7195,Footwear,Women Shoes,Adidas,Running Shoes,USD,67.0,48.0,28,321 Oak St
2024-03-08,USA,San Francisco,IL,47109,West,2580,Footwear,Women Shoes,Nike,Running Shoes,USD,194.0,182.0,6,321 Oak St
2024-04-12,USA,New York,CA,82204,East,7833,Footwear,Men Shoes,Puma,Formal Shoes,USD,132.0,111.0,16,456 Market St
2024-08-15,USA,New York,CA,60268,South,8577,Footwear,Women Shoes,Adidas,Running Shoes,USD,167.0,145.0,13,789 Elm St
2024-07-17,USA,New York,NY,10538,West,1562,Footwear,Men Shoes,Puma,Formal Shoes,USD,191.0,174.0,9,789 Elm St
2023-11-06,USA,New York,NY,12950,East,9475,Footwear,Men Shoes,Reebok,Casual Shoes,USD,103.0,87.0,16,789 Elm St
2024-02-16,USA,Los Angeles,CA,88105,Central,8132,Footwear,Men Shoes,Adidas,Formal Shoes,USD,132.0,120.0,9,321 Oak St
2023-12-07,USA,New York,IL,15488,Central,4373,Footwear,Men Shoes,Reebok,Formal Shoes,USD,138.0,124.0,10,456 Market St
2024-01-20,USA,New York,CA,63923,East,6810,Footwear,Women Shoes,Nike,Running Shoes,USD,112.0,101.0,10,321 Oak St
2023-12-16,USA,Los Angeles,IL,69722,Central,6966,Footwear,Women Shoes,Adidas,Casual Shoes,USD,79.0,65.0,18,789 Elm St
2023-10-11,USA,San Francisco,NY,81872,Central,4700,Footwear,Men Shoes,Reebok,Running Shoes,USD,72.0,68.0,6,456 Market St
2023-08-29,USA,Los Angeles,CA,26628,East,3459,Footwear,Women Shoes,Nike,Casual Shoes,USD,136.0,113.0,17,321 Oak St
2024-08-01,USA,Los Angeles,IL,60077,South,4464,Footwear,Women Shoes,Puma,Casual Shoes,USD,99.0,92.0,7,789 Elm St
2023-11-13,USA,Los Angeles,CA,96497,South,4027,Footwear,Men Shoes,Reebok,Formal Shoes,USD,65.0,58.0,11,789 Elm St
2024-06-04,USA,Los Angeles,CA,68505,Central,1454,Footwear,Women Shoes,Adidas,Casual Shoes,USD,65.0,47.0,27,456 Market St
2024-03-14,USA,San Francisco,IL,68046,South,8212,Footwear,Men Shoes,Adidas,Formal Shoes,USD,128.0,96.0,25,456 Market St
